metric,mean,std,experiment
scores.fold_4_3.accuracy_score,0.5083782742681046,0.01426824254829544,With augmentation
scores.fold_4_3.f1_macro,0.26098089290450505,0.0240830837103326,With augmentation
scores.fold_5_0.load_data_time,10.844605660272727,0.14923054223618035,With augmentation
scores.fold_5_0.training_time,13.865889835318182,0.10762113168663733,With augmentation
scores.fold_5_0.prediction_time,0.604996276,0.007663793463212256,With augmentation
scores.fold_5_0.accuracy_score,0.62843416204114,0.01390216027296838,With augmentation
scores.fold_5_0.f1_macro,0.5554514795335742,0.011450495769830966,With augmentation
scores.fold_5_1.load_data_time,14.085656936909091,0.2516642236518675,With augmentation
scores.fold_5_1.training_time,18.409992377318176,0.14842947201318113,With augmentation
scores.fold_5_1.prediction_time,0.5491345184090909,0.007161482952602877,With augmentation
scores.fold_5_1.accuracy_score,0.4970606760445099,0.011575747083222355,With augmentation
scores.fold_5_1.f1_macro,0.5241174746707401,0.0067927384600709574,With augmentation
scores.fold_5_2.load_data_time,29.6465765435,0.4219830821598262,With augmentation
scores.fold_5_2.training_time,37.340773097636365,0.28534239019665664,With augmentation
scores.fold_5_2.prediction_time,0.22028756749999998,0.0029073333285764766,With augmentation
scores.fold_5_2.accuracy_score,0.49884241395277035,0.022418850348068908,With augmentation
scores.fold_5_2.f1_macro,0.46604169990090055,0.014847740434290076,With augmentation
scores.fold_5_3.load_data_time,20.18342851572727,0.29052937492706155,With augmentation
scores.fold_5_3.training_time,25.28579862290909,0.14309725644436572,With augmentation
scores.fold_5_3.prediction_time,0.4547985972727273,0.005463055707073756,With augmentation
scores.fold_5_3.accuracy_score,0.503715498938429,0.006517257933981018,With augmentation
scores.fold_5_3.f1_macro,0.25496664202282204,0.012019270522706967,With augmentation
scores.fold_6_0.load_data_time,10.809440201727272,0.15575878102111312,With augmentation
scores.fold_6_0.training_time,13.759967986409093,0.09781743033288885,With augmentation
scores.fold_6_0.prediction_time,0.6603813885000002,0.009022379396382483,With augmentation
scores.fold_6_0.accuracy_score,0.628052481673437,0.011872589715247364,With augmentation
scores.fold_6_0.f1_macro,0.5557070617990051,0.009868992677433738,With augmentation
scores.fold_6_1.load_data_time,14.066310188636363,0.21666700621858623,With augmentation
scores.fold_6_1.training_time,18.508792358909087,0.17418644876984496,With augmentation
scores.fold_6_1.prediction_time,0.494828654,0.006406781731664942,With augmentation
scores.fold_6_1.accuracy_score,0.5400333611342785,0.00959243209164338,With augmentation
scores.fold_6_1.f1_macro,0.5261794459441993,0.006813764815119227,With augmentation
scores.fold_6_2.load_data_time,29.805893812909087,0.9572286786478139,With augmentation
scores.fold_6_2.training_time,37.375485408409084,0.36263643534988355,With augmentation
scores.fold_6_2.prediction_time,0.2212713271818182,0.00436340760084222,With augmentation
scores.fold_6_2.accuracy_score,0.45167509210864537,0.027108433653215615,With augmentation
scores.fold_6_2.f1_macro,0.47014145863533624,0.016366727503624886,With augmentation
scores.fold_6_3.load_data_time,20.372948027136363,0.6327092577202601,With augmentation
scores.fold_6_3.training_time,25.36786863827273,0.26361531688205075,With augmentation
scores.fold_6_3.prediction_time,0.455870743090909,0.0061434503734547515,With augmentation
scores.fold_6_3.accuracy_score,0.5142829569581162,0.019737468276344827,With augmentation
scores.fold_6_3.f1_macro,0.2728356727798405,0.03254682242588438,With augmentation
scores.fold_7_0.load_data_time,10.864040961863637,0.19884807724330558,With augmentation
scores.fold_7_0.training_time,13.801804839954542,0.17113472011453912,With augmentation
scores.fold_7_0.prediction_time,0.6636517364090909,0.012129104685351765,With augmentation
scores.fold_7_0.accuracy_score,0.6301302703459868,0.008653046930592758,With augmentation
scores.fold_7_0.f1_macro,0.5570244356290001,0.006724527750593798,With augmentation
scores.fold_7_1.load_data_time,14.08979141418182,0.21160955765764197,With augmentation
scores.fold_7_1.training_time,18.372000395499995,0.1866836549164012,With augmentation
scores.fold_7_1.prediction_time,0.5508985455909091,0.006653157238509696,With augmentation
scores.fold_7_1.accuracy_score,0.5367392141756548,0.007520185605451752,With augmentation
scores.fold_7_1.f1_macro,0.5241469226828795,0.00581574890723589,With augmentation
scores.fold_7_2.load_data_time,29.775483059727268,0.5348712908590868,With augmentation
scores.fold_7_2.training_time,37.469559780000004,0.3823164332230792,With augmentation
scores.fold_7_2.prediction_time,0.16627567418181818,0.0019891343022913417,With augmentation
scores.fold_7_2.accuracy_score,0.5061878325237104,0.02245157366274512,With augmentation
scores.fold_7_2.f1_macro,0.4713086834506631,0.015427015640950274,With augmentation
scores.fold_7_3.load_data_time,29.775483059727268,0.5348712908590868,With augmentation
scores.fold_7_3.training_time,37.469559780000004,0.3823164332230792,With augmentation
scores.fold_7_3.prediction_time,0.16627567418181818,0.0019891343022913417,With augmentation
